record_id,title,authors,year,venue,doi,review_status,dataset,stations,event_classes,input_representation,preprocessing,model,split_strategy,cross_station_evaluation,negative_sampling,metrics,false_alarm_metric,uncertainty_method,code_availability,weights_availability,main_result,limitations,overlap_with_lunaseis,novelty_effect
L001,A New Archive of Apollo's Lunar Seismic Data,C. Nunn; Y. Nakamura; S. Kedar; M. P. Panning,2022,The Planetary Science Journal,10.3847/PSJ/ac87af,peer-reviewed,Apollo PSE restored archive,S11; S12; S14; S15; S16,not an event benchmark,MiniSEED/SEED archive,timing correction; recovery; metadata restoration,not ML,not applicable,no,not applicable,data recovery percentages,not applicable,not applicable,public processing repository,no,96.5 percent valid records reported across mission coverage,remaining gaps/timing issues and glitches,defines authoritative waveform/timing foundation,supports reproducibility contribution but not ML novelty
L002,New identification of deep moonquakes in the Apollo lunar seismic data,Y. Nakamura,2003,Physics of the Earth and Planetary Interiors,10.1016/S0031920103002103,peer-reviewed,Apollo PSE,network/deep-event catalog,deep moonquake families,waveform correlation,correlation and single-link clustering,template/correlation search,continuous archive search,no explicit ML station holdout,continuous data,events and family counts,not extracted,none found,not confirmed,no,increased identified deep events from 1360 to 7245 and revised nests,repeating similarity can create leakage,central family grouping precedent,eliminates any discovery-first claim and mandates family-disjoint splits
L003,New events discovered in the Apollo lunar seismic data,R. C. Bulow; C. L. Johnson; P. M. Shearer,2005,Journal of Geophysical Research Planets,10.1029/2005JE002414,peer-reviewed,Apollo PSE long-period network,multiple PSE stations,deep moonquake A1 and catalog grades,waveform,filtering; median despiking; stacking,cross-correlation/template search,known family stacks against continuous data,no formal held-out station,continuous data,new-event counts; differential timing,not extracted,none found,not confirmed,no,found 123 additional A1 events beyond 323 cataloged events,focuses A1 and template similarity,grade definitions and family leakage controls,weakens generic detection novelty; supports rigorous grouping
L004,Identification of new events in Apollo 16 lunar seismic data by Hidden Markov Model-based event detection and classification,B. Knapmeyer-Endrun; C. Hammer,2015,Journal of Geophysical Research Planets,10.1002/2015JE004862,peer-reviewed,Apollo 16 continuous PSE,S16,impacts; deep; shallow; unclassified,engineered temporal/spectral features,daily background adaptation,Hidden Markov models,time-based continuous analysis at one station,no,background/noise model,detection/classification rates, false alarms discussed; daily adaptation reduced them,none found,not confirmed,no,demonstrated single-station automated detection/classification and new candidates,single station; shallow sample scarcity,direct predecessor for detection/classification,eliminates first automated/ML classifier claims
L005,Detecting moonquakes using convolutional neural networks a non-local training set and transfer learning,F. Civilini; R. C. Weber; Z. Jiang; D. Phillips; W. D. Pan,2021,Geophysical Journal International,10.1093/gji/ggab083,peer-reviewed,Earth PFO training; Apollo PSE and Apollo 17 LSPE testing,PSE S12/S14/S15/S16; LSPE geophones,binary signal/noise;s thermal detections,spectrogram images,high-pass filtering; windowed spectrograms,2-5 layer CNNs,Earth training/validation then lunar application,per-station results but not station-held-out lunar training,Earth noise windows; lunar continuous hours,accuracy; extra-arrival accuracy,extra/unassigned arrivals; qualitative LSPE comparison,none,article supplements/catalog; code status not fully audited,not found,89-96 percent station accuracy averages on 200 Grade-A PSE events; telemetry motivation,300 s tolerance; no lunar training split; limited false-alarm ground truth,direct ML telemetry and lightweight CNN predecessor,eliminates first CNN/telemetry-prioritization claims
L006,Thermal Moonquake Characterization and Cataloging Using Frequency-Based Algorithms and Stochastic Gradient Descent,F. Civilini; R. C. Weber; A. Husker,2023,Journal of Geophysical Research Planets,10.1029/2022JE007704,peer-reviewed,Apollo 17 LSPE,LSPE geophones,thermal moonquake morphology,frequency/envelope features,frequency-based processing,stochastic-gradient method,not yet fully extracted,no PSE station holdout,continuous LSPE,thermal catalog characteristics,not yet extracted,none identified,Zenodo code DOI 10.5281/zenodo.8025056,no model-weight audit,reproducible revised thermal-event catalog,separate instrument/domain from PSE,release/reproducibility precedent,does not directly block PSE station-generalization contribution
L007,New Views of Lunar Seismicity Brought by Analysis of Newly Discovered Moonquakes in Apollo Short-Period Seismic Data,K. Onodera,2024,Journal of Geophysical Research Planets,10.1029/2023JE008153,peer-reviewed,Apollo PSE short-period,S14; S15; S16,meteoroid; shallow; thermal,short-period waveform and spectrogram,despiking; coherence/event analysis,frequency/coherence detection and catalog analysis,continuous short-period search,no ML station holdout,continuous archive,event counts; seismicity parameters,not primary focus,none,associated catalog reported; location to audit,no,expanded shallow moonquakes from 28 to 74 and found more than 22000 events,not integrated into 2019 PDS expanded catalog,changes label completeness and class viability,requires newer-catalog reconciliation before final labels
L008,Newly Discovered Temperature-Related Long-Period Signals in Lunar Seismic Data by Deep Learning,X. Liu; Z. Xiao; J. Li; Y. Nakamura,2024,Earth and Space Science,10.1029/2024EA003676,peer-reviewed,Apollo PSE long-period,at least 3 of 4 long-running PSE stations,temperature-related long-period instrumental signal,waveform representations and clusters,stacking; polarization; temporal analysis,deep unsupervised clustering,not yet fully extracted,multistation occurrence examined,not applicable,cluster/physical analyses,not applicable,none found,not audited,no,found nightly temperature-related long-period signals likely instrument/heater induced,signal physical origin retains uncertainty,station/instrument artifact shortcut warning,strengthens artifact controls and weakens naive catalog-negative assumption
L009,Fourier Neural Operator for Moonquake Detection,B. Al-Qadasi; U. Bin Waheed,2026,Earth and Space Science,10.1029/2025EA004792,peer-reviewed,Earth PFO; Apollo PSE; Apollo 17 LSPE,PSE four-station data; LSPE,binary event/noise,1D waveform and 2D spectrogram,detrending; normalization; event/noise windowing,FNO with CNN baseline,stratified train/validation/test in Earth-only and Earth plus 64 moonquake regimes,cross-domain rather than strict leave-one-PSE-station-out,balanced paired event/noise windows,F1 and efficiency metrics; exact table extraction pending,reports few false alarms but operational rate extraction pending,none identified,not found,not found,FNO supports variable lengths/rates with fewer parameters and peak lunar F1 roughly 0.75-0.85 in Earth-trained regimes,small lunar sample; balanced windows; exact leakage/station protocol needs audit,direct raw-waveform/lightweight/efficiency overlap,materially weakens original candidate novelty; strict LOSO/family/calibration/operational study may remain
L010,Discovery of Repeating Shallow Moonquakes in the Apollo Lunar Seismic Data,K. Onodera,2026,Geophysical Research Letters,10.1029/2026GL122541,peer-reviewed,updated Apollo shallow catalog,multiple Apollo stations,shallow moonquakes,waveform similarity,despiking/alignment as reported,repeat-event analysis,not an ML split,no,not applicable,repeating pair evidence,not applicable,none,not audited,no,identified repeating shallow-moonquake pair,small number of repeats found,extends repeating-family risk beyond deep events,requires similarity/duplicate checks for shallow events too
